Z05	NAME	CANTON	PTOT	P0004M	P0004F	P0509M	P0509F	P1014M	P1014F	P1519M	P1519F	PJEUNES	PROP_JEUNES
2010	Cheyres-Enclaves	FR	6003	162	208	192	209	235	226	177	138	1547	0.257704481
2011	Cugy-Vernay	FR	6125	241	203	213	217	208	235	211	250	1778	0.290285714
2013	Basse-Broye FR	FR	7144	236	200	245	190	209	207	243	210	1740	0.24356103
2015	Estavayer-le-Lac	FR	5228	146	153	156	89	143	148	139	169	1143	0.218630451
2029	Montagny-Noréaz	FR	6663	214	152	188	189	204	208	266	293	1714	0.257241483
2096	Romont	FR	4469	86	121	171	113	120	94	167	165	1037	0.232042963
2097	Rue	FR	5218	176	111	222	172	215	153	226	193	1468	0.281333844
2113	Vuisternens-Siviriez	FR	6998	244	239	207	228	210	198	312	293	1931	0.275935982
2115	Torny-Le Glèbe	FR	7238	309	258	253	277	255	293	250	274	2169	0.299668417
2124	Broc-Jogne	FR	5713	111	77	169	149	172	179	136	125	1118	0.195694031
2125.1	Bulle Ville	FR	5160	209	143	80	114	122	76	115	151	1010	0.195736434
2125.2	Bulle Dardens-Carô	FR	5896	175	143	183	124	202	205	242	283	1557	0.264077341
2125.3	Bulle Bouleyres-Jéricho	FR	4235	136	113	103	114	98	76	116	112	868	0.204958678
2125.4	Bulle-La Tour Le Pâquier	FR	5259	200	126	151	162	238	169	158	165	1369	0.260315649
2135	Gruyères-Intyamon	FR	5691	172	147	187	146	158	187	218	158	1373	0.241258127
2148	La Sionne	FR	8055	248	245	229	296	292	333	275	309	2227	0.27647424
2149	Berra-Gibloux	FR	7460	208	225	234	244	292	206	312	282	2003	0.26849866
2175	Belfaux-La Sonnaz	FR	4871	112	164	136	150	177	181	195	208	1323	0.271607473
2183	Avry-Matran-Corminboeuf	FR	5173	137	107	178	137	171	154	217	183	1284	0.248211869
2196.11	Fribourg Vieille-Ville	FR	4659	146	139	127	69	84	68	89	105	827	0.177505903
2196.12	Fribourg Beauregard	FR	4229	120	176	113	87	59	132	144	68	899	0.212579806
2196.13	Fribourg Jura-Poya	FR	4665	92	86	120	80	155	124	215	149	1021	0.21886388
2196.14	Fribourg Pérolles	FR	4845	95	144	135	87	86	100	104	100	851	0.175644995
2196.15	Fribourg Neuveville-Bourguillon-Gottéron	FR	4174	110	157	105	107	123	125	167	134	1028	0.246286536
2196.17	Fribourg Schönberg	FR	4953	148	177	134	177	181	146	152	143	1258	0.253987482
2196.19	Fribourg Places	FR	4258	166	131	108	119	87	67	124	133	935	0.21958666
2197	Givisiez-Granges-Paccot	FR	6211	149	237	191	141	145	175	241	174	1453	0.233939784
2206	Marly	FR	7674	179	188	187	212	243	222	259	262	1752	0.228303362
2220	Le Mouret	FR	6747	148	140	165	202	224	245	275	271	1670	0.247517415
2228.1	Villars-sur-Glâne Village-Moncor	FR	6833	130	177	188	188	197	219	321	212	1632	0.238840919
2228.2	Villars-sur-Glâne Cormanon-Daillettes	FR	5130	212	161	187	166	130	124	157	137	1274	0.24834308
2233	Hauterive-Farvagny	FR	6891	251	226	261	258	256	244	228	216	1940	0.281526629
2234	La Brillaz-Cottens	FR	7429	177	275	277	239	247	219	269	294	1997	0.268811415
2254	Courtaman-Misery	FR	4977	143	218	177	200	179	137	152	193	1399	0.281093028
2259	Galmiz-Salvenach	FR	4380	86	78	110	138	146	101	172	94	925	0.211187215
2262	Gurmels-Courgevaux	FR	6900	159	132	179	184	216	218	248	268	1604	0.232463768
2265	Kerzers	FR	5008	126	146	126	123	150	140	210	173	1194	0.23841853
2275	Murten	FR	5997	150	189	145	135	212	205	144	129	1309	0.218275805
2280	Villarepos-Vully	FR	5128	171	99	195	133	168	173	153	128	1220	0.237909516
2293	Düdingen	FR	7476	178	204	237	182	155	189	220	222	1587	0.212279294
2294	Giffers-St.Ursen	FR	6697	187	158	185	155	214	235	183	216	1533	0.228908466
2299	Plaffeien-Jaun	FR	4732	72	140	93	131	126	133	183	197	1075	0.227176669
2305	Schmitten-Bösingen	FR	7028	224	153	161	107	207	191	238	273	1554	0.221115538
2306	Tafers-Alterswil	FR	8198	275	224	193	204	207	203	272	268	1846	0.225176872
2309	Flamatt	FR	7641	221	174	245	219	206	202	217	257	1741	0.227849758
2321	Attalens	FR	5862	218	184	214	191	251	175	239	184	1656	0.282497441
2325	Châtel-St-Denis	FR	6160	247	206	226	158	192	149	161	219	1558	0.252922078
2336	Haute-Broye	FR	4718	191	157	151	166	135	173	209	159	1341	0.284230606
6002.1	Brig-Glis Stadt	VS	4367	74	91	56	58	59	61	108	94	601	0.137623082
6002.2	Brig-Glis Glis	VS	4077	94	77	81	52	104	83	198	198	887	0.217561933
6002.3	Brig-Simplonpass	VS	6188	169	135	123	168	167	202	169	171	1304	0.210730446
6007	Naters	VS	8169	205	203	206	155	210	155	201	198	1533	0.187660668
6022	Chamoson-Ardon	VS	5858	155	196	151	119	206	177	206	226	1436	0.245134858
6023	Conthey	VS	8686	241	282	218	167	267	247	275	251	1948	0.224268939
6024	Nendaz-Veysonnaz	VS	6103	183	177	205	106	156	203	171	163	1364	0.223496641
6025	Vétroz	VS	5168	99	156	175	139	193	159	188	165	1274	0.246517028
6031	Bagnes	VS	7865	267	230	219	158	172	232	249	260	1787	0.227209154
6034	Entremont	VS	8127	274	238	248	262	258	247	281	287	2095	0.2577827
6057	Goms	VS	6974	161	133	55	137	107	96	218	196	1103	0.158158876
6082	Grimisuat-Ayent	VS	7977	166	185	230	208	202	198	305	214	1708	0.214115582
6083	Val d'Hérens	VS	6144	139	121	114	126	175	100	213	177	1165	0.189615885
6110	Leuk- Leukerbad	VS	7603	201	151	156	155	168	227	197	175	1430	0.188083651
6118	Gampel-Steg Lötschental	VS	7376	170	97	167	161	231	221	233	310	1590	0.215563991
6133	Fully	VS	8849	234	277	271	285	278	203	321	290	2159	0.243982371
6136.1	Martigny Ville	VS	5085	126	90	151	82	137	132	158	161	1037	0.203933137
6136.2	Martigny Bourg	VS	6109	204	123	199	151	171	172	220	171	1411	0.230970699
6136.3	Martigny La Bâtiaz-Finettes	VS	6441	186	208	198	173	156	183	190	214	1508	0.234125136
6137	Forclaz-Trient	VS	3646	93	71	99	77	80	96	83	82	681	0.186780033
6139	Riddes-Leytron	VS	6377	200	161	233	158	170	185	206	180	1493	0.234122628
6141	Saxon-Saillon	VS	9275	254	361	308	247	283	284	300	240	2277	0.245498652
6152	Collombey-Muraz	VS	7402	293	133	185	224	197	230	262	281	1805	0.243853013
6153.1	Monthey Ville-Outrevièze-Choëx	VS	5245	96	107	144	137	177	191	149	189	1190	0.226882745
6153.2	Monthey Vièze	VS	4624	86	103	88	95	110	113	153	143	891	0.192690311
6153.3	Monthey Poisy-Hautavy	VS	4857	134	163	140	75	136	131	179	166	1124	0.231418571
6154	Port-Valais St-Gingolph	VS	3804	75	70	67	145	118	76	120	79	750	0.197160883
6156	Illiez	VS	7937	190	177	229	181	260	254	261	245	1797	0.226407963
6159	Vouvry-Vionnaz	VS	6153	207	216	173	131	198	193	256	186	1560	0.253534861
6199	Raron	VS	7681	142	184	187	189	208	193	248	231	1582	0.205962765
6213	Evionnaz-Collonges	VS	4650	122	122	131	87	154	176	150	171	1113	0.239354839
6217	St-Maurice	VS	6501	172	171	181	120	256	233	219	295	1647	0.253345639
6234.1	Chermignon-Lens	VS	4676	129	72	104	103	175	127	166	118	994	0.21257485
6238	St-Léonard Mont-Noble	VS	5250	130	117	106	124	119	177	154	126	1053	0.200571429
6240.1	Crans-sur-Sierre	VS	3787	85	48	58	83	80	76	94	82	606	0.160021125
6244.1	Montana-Randogne	VS	3372	58	39	97	54	75	108	81	111	623	0.184756821
6248.1	Sierre Ville-Liddes	VS	4912	140	109	127	113	120	103	133	137	982	0.199918567
6248.2	Sierre Villa-Muraz	VS	4144	118	64	37	58	75	131	77	117	677	0.163368726
6248.3	Sierre Géronde-Granges	VS	5043	144	96	149	109	107	131	156	164	1056	0.209399167
6250.1	Veyras-Miège-Mollens	VS	5355	153	135	200	188	123	143	164	160	1266	0.236414566
6252	Chalais-Hérens	VS	7792	196	152	244	141	229	264	261	252	1739	0.223177618
6265	Savièse	VS	6866	127	197	229	149	145	146	225	237	1455	0.211913778
6266.1	Sion Ville	VS	6134	146	106	137	151	112	118	116	126	1012	0.164982067
6266.2	Sion France-Lausanne	VS	5689	51	94	114	74	103	149	164	105	854	0.150114256
6266.3	Sion Gravelone-Rawil	VS	5149	137	101	118	125	160	129	124	181	1075	0.208778404
6266.4	Sion Châteauneuf-Salins	VS	5612	180	161	181	114	93	155	156	131	1171	0.208660014
6266.5	Sion Champ-Sec	VS	6203	114	157	121	123	148	144	235	194	1236	0.199258423
6266.6	Sion Bramois-Uvrier	VS	4804	118	141	123	137	172	128	199	136	1154	0.240216486
6292	Mattertal	VS	4510	113	81	86	110	121	100	181	164	956	0.211973392
6293	Vispa-Saastal	VS	6610	115	172	142	140	196	184	247	287	1483	0.224357035
6297	Visp	VS	6476	79	188	130	116	158	153	191	216	1231	0.190086473
6300	Zermatt	VS	4467	100	68	82	63	158	89	153	162	875	0.195880904
6602	Anières-Hermance-Corsier	GE	4421	133	137	178	140	134	133	194	183	1232	0.278669984
6603	Champagne	GE	6011	194	146	230	238	191	179	213	198	1589	0.264348694
6607.1	Bernex Village-Loëx	GE	4653	117	150	133	146	147	156	171	148	1168	0.251020847
6607.2	Bernex Vailly-Lully-Sézenove	GE	5082	89	110	146	141	151	129	172	194	1132	0.22274695
6608.1	Carouge Vieux-Carouge-Fontenette	GE	4381	90	86	98	75	73	99	74	96	691	0.157726546
6608.2	Carouge Etoile-Acacias	GE	4151	111	113	103	102	83	106	95	127	840	0.202360877
6608.3	Carouge Pinchat-Praille	GE	4978	195	178	196	223	183	203	188	146	1512	0.30373644
6608.4	Carouge Moraines-Val d'Arve	GE	4839	163	99	94	153	123	120	155	158	1065	0.220086795
6612.1	Chêne-Bougeries Village-Conches	GE	4273	93	88	143	114	156	132	165	191	1082	0.25321788
6612.2	Chêne-Bougeries Gradelle	GE	4439	93	75	126	106	75	107	120	107	809	0.182248254
6613	Chêne-Bourg	GE	8374	199	173	202	219	239	258	289	243	1822	0.217578218
6616	Collonge-Bellerive	GE	7406	196	208	226	277	298	266	379	283	2133	0.288009722
6617	Cologny	GE	4145	79	75	124	100	111	149	131	181	950	0.229191797
6618	Confignon-Perly	GE	6825	242	202	248	211	227	229	262	251	1872	0.274285714
6621.01	Genève Cité-Rive	GE	5927	167	126	132	85	143	67	141	180	1041	0.175636916
6621.02	Genève St-Gervais-Chantepoulet	GE	3891	118	144	97	82	104	81	86	61	773	0.198663583
6621.031	Genève Délices-Grottes Délices	GE	5386	159	138	72	96	87	78	117	116	863	0.160230227
6621.032	Genève Délices-Grottes Grottes	GE	5386	147	110	120	145	166	138	172	185	1183	0.21964352
6621.041	Genève Pâquis-Navigation Navigation	GE	4125	111	84	99	64	86	78	108	115	745	0.180606061
6621.042	Genève Pâquis-Navigation Môle	GE	3822	94	93	50	59	25	72	58	77	528	0.138147567
6621.111	Genève Champel-Roseraie HUG	GE	5278	147	134	134	87	119	113	115	130	979	0.185486927
6621.112	Genève Champel-Roseraie Parc-Bertrand-Falaises	GE	6319	140	199	132	189	160	182	150	192	1344	0.212691882
6621.113	Genève Champel-Roseraie Roseraie-Bout-du-Monde	GE	4836	104	131	117	106	87	97	107	146	895	0.185070306
6621.121	Genève Cluse-Philosophes Philosophes	GE	4327	102	97	79	81	74	75	77	102	687	0.158770511
6621.122	Genève Cluse-Philosophes Dancet-St-François	GE	4668	118	125	71	83	88	76	107	69	737	0.157883462
6621.123	Genève Cluse-Philosophes Minoteries-Augustins	GE	5045	88	130	70	86	65	80	123	91	733	0.145292369
6621.131	Genève Jonction-Plainpalais Coulouvrenières-Ste-Clotilde	GE	4601	106	89	51	72	78	72	86	107	661	0.143664421
6621.132	Genève Jonction-Plainpalais Mail-Ernest-Ansermet	GE	4174	109	81	82	77	110	88	114	119	780	0.186871107
6621.133	Genève Jonction-Plainpalais Jonction	GE	3976	73	80	97	69	91	59	107	76	652	0.163983903
6621.14	Genève Bâtie-Acacias	GE	4735	148	97	85	71	84	109	108	110	812	0.171488912
6621.211	Genève Eaux-Vives-Lac Niton-Jet-d'Eau	GE	4068	134	75	24	27	69	68	86	64	547	0.13446411
6621.212	Genève Eaux-Vives-Lac Villereuse	GE	4732	172	112	82	74	91	95	112	84	822	0.173710904
6621.213	Genève Eaux-Vives-Lac Montchoisy-Vollandes	GE	4322	102	91	65	59	71	66	83	108	645	0.149236465
6621.214	Genève Eaux-Vives-Lac Gare	GE	5649	129	169	161	148	154	129	197	177	1264	0.223756417
6621.221	Genève Florissant-Malagnou Beaumont-Contamines	GE	7098	183	215	153	96	135	128	135	169	1214	0.171034094
6621.222	Genève Florissant-Malagnou Florence-Boissières	GE	6412	210	246	225	105	199	173	220	158	1536	0.239550842
6621.31	Genève Sécheron-Prieuré	GE	5448	147	164	165	144	140	135	143	142	1180	0.216593245
6621.32	Genève ONU-Rigot-Vermont	GE	5726	120	107	134	117	116	98	109	119	920	0.160670625
6621.33	Genève Grand-Pré	GE	5298	155	148	90	105	118	100	118	127	961	0.181389203
6621.341	Genève Bouchet-Moillebeau Genêts-Vignes	GE	4386	96	81	134	123	131	89	180	209	1043	0.237802098
6621.342	Genève Bouchet-Moillebeau Crêts	GE	3940	67	68	48	48	48	50	80	81	490	0.124365482
6621.343	Genève Bouchet-Moillebeau Bouchet	GE	4684	121	137	145	170	133	107	187	170	1170	0.249786507
6621.351	Genève Charmilles-Châtelaine Servette	GE	4467	96	96	89	61	66	49	77	79	613	0.137228565
6621.352	Genève Charmilles-Châtelaine Charmilles	GE	5990	221	153	140	151	175	200	191	159	1390	0.232053422
6621.353	Genève Charmilles-Châtelaine Liotard-Bourgogne	GE	4903	142	116	104	100	113	141	190	130	1036	0.211299205
6621.354	Genève Charmilles-Châtelaine Châtelaine-Vieusseux	GE	5952	200	191	130	161	189	167	201	209	1448	0.24327957
6621.361	Genève St-Jean-Aïre St-Jean	GE	4610	104	149	90	89	83	98	83	108	804	0.174403471
6621.362	Genève St-Jean-Aïre Aïre	GE	4752	116	124	116	159	247	157	220	165	1304	0.274410774
6622.1	Genthod Collex-Bossy Versoix-Richelien	GE	4702	90	123	141	120	192	216	190	169	1241	0.263930242
6623.1	Le Grand-Saconnex Village-Marais	GE	5283	163	119	195	165	111	98	193	164	1208	0.228657959
6623.2	Le Grand-Saconnex Pommier-Tour	GE	5077	211	191	227	197	184	150	152	173	1485	0.292495568
6628.1	Lancy Petit-Lancy	GE	5145	197	170	215	196	137	191	186	118	1410	0.274052478
6628.2	Lancy Caroline	GE	4668	121	131	85	98	96	109	107	133	880	0.188517566
6628.3	Lancy Mouilles-Pont-Rouge	GE	6009	217	178	245	227	185	208	217	210	1687	0.280745548
6628.4	Lancy Grand-Lancy	GE	7174	226	169	175	173	190	199	254	208	1594	0.222191246
6628.5	Lancy Bachet-Praille	GE	5745	156	151	144	142	185	101	168	193	1240	0.215839861
6630.1	Meyrin Village	GE	4556	116	140	93	127	165	110	179	165	1095	0.240342406
6630.2	Meyrin Cointrin-Mategnin-Vernes	GE	4699	105	114	117	115	114	98	139	168	970	0.206426899
6630.3	Meyrin Rian-Bosson-Prunay	GE	4407	127	142	136	116	120	144	194	117	1096	0.248695258
6630.4	Meyrin Feuillasse-Ste-Cécile	GE	5101	112	172	145	131	110	126	156	139	1091	0.213879631
6631.1	Onex Village	GE	5611	170	181	179	168	217	160	202	223	1500	0.267332026
6631.2	Onex Gros-Chêne-Cressy	GE	6506	130	133	148	144	119	149	198	183	1204	0.185059945
6631.3	Onex Cité-Nouvelle	GE	5383	179	150	144	161	152	164	148	160	1258	0.233698681
6633.1	Plan-les-Ouates Village-Arare	GE	5188	197	173	267	224	218	223	202	213	1717	0.330956052
6633.2	Plan-les-Ouates Drize-Saconnex-d'Arve	GE	4619	125	111	118	149	165	188	214	181	1251	0.270837844
6634	Pregny-Bellevue	GE	5299	137	174	186	201	176	183	220	195	1472	0.277788262
6636	Puplinge-Grands Bois	GE	4387	127	142	121	168	129	110	164	146	1107	0.252336449
6638	Mandement	GE	6574	267	277	239	218	236	189	231	216	1873	0.284910253
6640.1	Thônex Village	GE	6259	184	124	183	232	225	253	277	331	1809	0.289023806
6640.2	Thônex Moillesulaz-Mon Idée	GE	7396	183	149	166	161	189	126	273	204	1451	0.196187128
6641	Troinex-Bardonnex	GE	3831	102	75	94	130	159	103	153	135	951	0.248238058
6642	Vandoeuvres-Seymaz	GE	4501	135	120	117	129	171	129	187	152	1140	0.25327705
6643.1	Vernier Village	GE	4458	104	102	99	108	143	129	226	127	1038	0.232839838
6643.2	Vernier Bois-des-Frères	GE	4600	149	156	173	131	147	148	171	142	1217	0.264565217
6643.3	Vernier Balexert	GE	6184	148	117	167	145	143	151	247	289	1407	0.227522639
6643.4	Vernier Châtelaine	GE	5323	187	140	203	143	193	124	147	152	1289	0.242156679
6643.5	Vernier Aïre	GE	5403	195	103	133	129	152	208	210	176	1306	0.241717564
6643.6	Vernier Lignon	GE	5087	146	110	105	100	124	137	112	159	993	0.19520346
6644.1	Versoix Ville-Pont-Céard	GE	5901	176	131	198	237	191	218	250	160	1561	0.264531435
6644.2	Versoix Bourg-St-Loup	GE	5037	138	112	173	138	212	185	202	241	1401	0.278141751
6645.1	Veyrier Village	GE	5164	134	120	161	185	171	145	204	182	1302	0.252130132
6645.2	Veyrier Pinchat	GE	5297	180	167	144	162	232	223	239	203	1550	0.292618463
